system:index,B1,B2,B3,B4,B5,B6,B7,Class,.geo
0_52_0,0.2188572,0.21554077,0.2219676,0.2404908,0.26918983,0.24766263,0.19495197,0.0,
0_53_0,0.15602386,0.14227706,0.13470042,0.13594043,0.23487139,0.19588548,0.1529462,0.0,
0_54_0,0.202067,0.19501299,0.19862744,0.21437019,0.2624516,0.26742607,0.22639039,0.0,
0_55_0,0.1607556,0.14517844,0.13567996,0.13827214,0.22429128,0.19136712,0.14504747,0.0,
0_56_0,0.1631135,0.14929134,0.13455707,0.13728827,0.16962408,0.15327951,0.12863678,0.0,
0_57_0,0.2018272,0.1918341,0.18351102,0.18951775,0.20513201,0.19216117,0.14005995,0.0,
0_58_0,0.20596805,0.19983332,0.19987538,0.20929945,0.23301135,0.23155762,0.22470199,0.0,
0_59_0,0.13292494,0.114374384,0.110325836,0.09866259,0.3598819,0.2282298,0.13508771,0.0,
0_60_0,0.1732992,0.15887481,0.14749323,0.15886219,0.17654076,0.17787583,0.15945458,0.0,
0_61_0,0.19924745,0.19179936,0.18542868,0.19652605,0.22820632,0.22124779,0.1899834,0.0,
0_62_0,0.15044178,0.13748866,0.13332903,0.15254799,0.233554,0.29487815,0.22682168,0.0,
0_63_0,0.18399645,0.17388159,0.16645932,0.17165652,0.20106067,0.19008225,0.14909674,0.0,
0_64_0,0.17546548,0.16233966,0.1498232,0.15102369,0.17777088,0.15809558,0.13143212,0.0,
0_65_0,0.17192775,0.1579988,0.15256953,0.1599847,0.16886187,0.17903997,0.15794267,0.0,
0_66_0,0.16031605,0.14274238,0.12466357,0.12722407,0.1555044,0.13697661,0.115623,0.0,
0_67_0,0.16777577,0.15310389,0.14359447,0.14647451,0.17405395,0.16936123,0.15898632,0.0,
0_68_0,0.15004264,0.12912875,0.10575221,0.09710046,0.13112544,0.10525989,0.088413335,0.0,
0_69_0,0.17977087,0.16618045,0.14351892,0.14443448,0.1491504,0.15605633,0.14077713,0.0,
0_70_0,0.17469485,0.16049042,0.13842413,0.13438888,0.18980353,0.17820522,0.1499988,0.0,
0_71_0,0.18327864,0.17323935,0.16684605,0.18035512,0.19397594,0.18843995,0.16996491,0.0,
0_72_0,0.1783327,0.16427338,0.1544664,0.15077217,0.17685324,0.1459424,0.120261945,0.0,
0_73_0,0.17629743,0.16480926,0.15460718,0.16086677,0.18095177,0.19873536,0.1865766,0.0,
0_74_0,0.201378,0.19452304,0.19726393,0.21888438,0.24688768,0.2528354,0.21796209,0.0,
0_75_0,0.18268976,0.16989893,0.15548146,0.15852407,0.16785613,0.17115474,0.15371688,0.0,
0_76_0,0.20544732,0.2021327,0.21041098,0.22813168,0.253371,0.24837686,0.20820248,0.0,
0_77_0,0.1700805,0.15788072,0.15056357,0.16914184,0.21787757,0.236782,0.20524599,0.0,
0_78_0,0.14542845,0.13038085,0.121553935,0.12155586,0.22949864,0.18842998,0.14456965,0.0,
0_79_0,0.16704234,0.151046,0.13807784,0.13627686,0.19395944,0.15493254,0.12634932,0.0,
0_80_0,0.17785801,0.16546877,0.15650085,0.16395658,0.21134567,0.18479171,0.14905344,0.0,
0_81_0,0.16548459,0.15792911,0.15990953,0.17789344,0.25707906,0.20606431,0.1386174,0.0,
0_82_0,0.21165979,0.20846303,0.21709912,0.23757207,0.26199088,0.26619804,0.22917658,0.0,
0_83_0,0.23186892,0.22553031,0.22739407,0.23966189,0.29559255,0.24257259,0.13700944,0.0,
0_84_0,0.17178182,0.15794519,0.14682531,0.14961284,0.18277141,0.15745945,0.12613423,0.0,
0_85_0,0.22458926,0.2266024,0.24785364,0.27217874,0.28419298,0.29843622,0.53323126,0.0,
0_86_0,0.17884575,0.16587013,0.15686746,0.15845253,0.20349874,0.19204956,0.17428069,0.0,
